Gene_ID,gene_symbol,gene_type,CTCFBSKO_rep4,CTCFBSKO_rep5,WT_rep4,WT_rep5
ENSMUSG00000047443,Fam132b,protein_coding,0,1,0,6
ENSMUSG00000100253,1700020N18Rik,lincRNA,2,1,2,0
ENSMUSG00000067071,Hes6,protein_coding,70,142,89,105
ENSMUSG00000055866,Per2,protein_coding,32,65,67,69
ENSMUSG00000034292,Traf3ip1,protein_coding,51,59,84,125
ENSMUSG00000026311,Asb1,protein_coding,81,32,31,68
ENSMUSG00000101705,Gm28380,lincRNA,0,0,3,0
ENSMUSG00000007805,Twist2,protein_coding,0,2,1,0
ENSMUSG00000026313,Hdac4,protein_coding,66,118,129,160
ENSMUSG00000103101,Gm37048,TEC,0,3,5,14
ENSMUSG00000102565,Gm37036,TEC,0,2,2,3
ENSMUSG00000101522,Gm7837,processed_pseudogene,0,1,0,0
ENSMUSG00000057464,Olfr1415,protein_coding,2,0,0,0
ENSMUSG00000042849,Olfr1414,protein_coding,0,0,4,0
ENSMUSG00000097001,1700054K02Rik,antisense,0,0,1,0
ENSMUSG00000058904,Olfr1413,protein_coding,0,1,0,0
ENSMUSG00000046300,Olfr1412,protein_coding,0,0,0,2
ENSMUSG00000062497,Olfr1411,protein_coding,0,0,9,0
ENSMUSG00000073616,Myeov2,protein_coding,42,24,15,27
ENSMUSG00000044055,Otos,protein_coding,0,1,3,1
ENSMUSG00000100781,Gm29481,antisense,0,0,0,2
ENSMUSG00000034220,Gpc1,protein_coding,0,1,2,1
ENSMUSG00000034212,Ankmy1,protein_coding,5,5,4,0
ENSMUSG00000047067,Dusp28,protein_coding,8,15,15,9
ENSMUSG00000097251,5033417F24Rik,antisense,1,4,0,1
ENSMUSG00000100632,9430060I03Rik,antisense,4,3,1,1
ENSMUSG00000026270,Capn10,protein_coding,48,36,32,15
ENSMUSG00000026271,Gpr35,protein_coding,0,6,3,0
ENSMUSG00000100021,Gm18697,processed_pseudogene,0,0,0,1
ENSMUSG00000045091,Aqp12,protein_coding,0,1,0,0
ENSMUSG00000014602,Kif1a,protein_coding,0,0,3,0
ENSMUSG00000034159,2310007B03Rik,protein_coding,0,0,0,1
ENSMUSG00000084989,Crocc2,protein_coding,0,4,2,0
ENSMUSG00000047793,Sned1,protein_coding,1,0,5,4
ENSMUSG00000026273,Mterf4,protein_coding,51,30,37,70
ENSMUSG00000100351,Gm7867,processed_pseudogene,8,10,4,2
ENSMUSG00000026274,Pask,protein_coding,5,8,2,9
ENSMUSG00000026275,Ppp1r7,protein_coding,131,135,135,175
ENSMUSG00000098689,Mir6345,miRNA,0,2,0,3
ENSMUSG00000064389,Gm26446,snRNA,3,0,0,2
ENSMUSG00000034107,Ano7,protein_coding,0,4,0,0
ENSMUSG00000090489,Gm17415,processed_pseudogene,1,8,0,4
ENSMUSG00000034066,Farp2,protein_coding,9,7,8,15
ENSMUSG00000103854,Gm37250,TEC,0,0,1,0
ENSMUSG00000026277,Stk25,protein_coding,89,172,128,237
ENSMUSG00000026278,Bok,protein_coding,0,0,0,2
ENSMUSG00000026279,Thap4,protein_coding,20,25,23,62
ENSMUSG00000026280,Atg4b,protein_coding,119,157,138,146
ENSMUSG00000026281,Dtymk,protein_coding,73,90,117,108
ENSMUSG00000088961,Gm22089,snRNA,0,0,0,1
ENSMUSG00000073609,D2hgdh,protein_coding,50,46,67,91
ENSMUSG00000073608,Gm6086,protein_coding,7,0,1,18
ENSMUSG00000026285,Pdcd1,protein_coding,0,0,1,1
ENSMUSG00000100347,Gm7895,processed_pseudogene,0,0,6,7
ENSMUSG00000051185,Fam174a,protein_coding,58,66,56,96
ENSMUSG00000103973,BC055308,TEC,0,7,4,5
ENSMUSG00000103197,Gm37642,TEC,7,12,3,10
ENSMUSG00000102658,Gm37076,TEC,0,1,4,0
ENSMUSG00000100362,Gm1833,processed_pseudogene,0,0,3,0
ENSMUSG00000040693,Slco4c1,protein_coding,0,0,2,2
ENSMUSG00000100454,Gm28901,lincRNA,0,0,0,1
ENSMUSG00000044757,Gm6430,processed_pseudogene,7,1,8,6
ENSMUSG00000026331,Slco6c1,protein_coding,2,0,0,0
ENSMUSG00000100484,Gm7133,unprocessed_pseudogene,0,3,0,0
ENSMUSG00000026333,Gin1,protein_coding,12,25,9,25
ENSMUSG00000026335,Pam,protein_coding,10,8,4,6
ENSMUSG00000089782,Gm3531,processed_pseudogene,22,2,13,3
ENSMUSG00000089706,B230216N24Rik,processed_transcript,4,2,0,0
ENSMUSG00000100182,1810006J02Rik,lincRNA,0,0,0,5
ENSMUSG00000099634,Gm29462,processed_pseudogene,2,0,0,0
ENSMUSG00000026336,Slco6d1,protein_coding,0,0,0,1
ENSMUSG00000100009,Gm7967,lincRNA,0,8,0,1
ENSMUSG00000067028,Cntnap5b,protein_coding,0,1,0,0
ENSMUSG00000100794,Gm29667,processed_pseudogene,0,0,6,1
ENSMUSG00000077039,Gm25537,miRNA,0,0,0,1
ENSMUSG00000100684,Gm20268,lincRNA,4,0,0,0
ENSMUSG00000100222,Psmb6-ps2,processed_pseudogene,0,0,0,1
ENSMUSG00000099375,Gm28187,lincRNA,9,10,17,11
ENSMUSG00000087908,Gm22034,snoRNA,0,2,0,0
ENSMUSG00000102325,Gm37789,TEC,0,1,2,0
ENSMUSG00000099464,Gm5260,processed_pseudogene,0,0,0,2
ENSMUSG00000050840,Cdh20,protein_coding,0,0,0,3
ENSMUSG00000101214,Gm28403,sense_overlapping,0,6,0,0
ENSMUSG00000067017,Gm3608,pseudogene,43,24,50,63
ENSMUSG00000056536,Pign,protein_coding,78,125,119,140
ENSMUSG00000100672,Gm28404,sense_intronic,0,0,0,4
ENSMUSG00000101219,Gm20302,processed_pseudogene,0,0,2,1
ENSMUSG00000101656,Gm8004,processed_pseudogene,0,0,5,0
ENSMUSG00000104044,Gm37566,TEC,2,2,0,1
ENSMUSG00000101330,Gm10193,processed_pseudogene,1,0,0,0
ENSMUSG00000026321,Tnfrsf11a,protein_coding,0,0,0,6
ENSMUSG00000099843,Gm7160,lincRNA,4,5,2,9
ENSMUSG00000102501,Gm37372,TEC,0,0,0,1
ENSMUSG00000101583,Gm20753,lincRNA,0,2,5,0
ENSMUSG00000044340,Phlpp1,protein_coding,167,154,186,180
ENSMUSG00000103291,Gm38235,TEC,0,9,1,4
ENSMUSG00000054006,D630008O14Rik,antisense,24,3,5,12
ENSMUSG00000103348,Gm37053,TEC,3,5,0,6
ENSMUSG00000009905,Kdsr,protein_coding,131,82,101,142
ENSMUSG00000067006,Serpinb5,protein_coding,0,1,0,0
ENSMUSG00000059956,Serpinb12,protein_coding,0,0,0,3
ENSMUSG00000044594,Serpinb3a,protein_coding,0,0,1,0
